,상호명
755,신사동 보쌈&족발
756,꽃바위 동해반점
757,해송초밥
758,나고야 일식
759,봉창이칼국수
760,토모참치&연어
761,굴사랑&가야밀면
762,오리궁뎅이
763,꽃돼지
764,황금돼지갈비
765,옹심이 칼국수
766,삼교리 동치미 막국수
767,조마루뼈다귀
768,채선당일산점
769,라온누리
770,미오리
772,쿠우쿠우 울산동구점
773,순례국밥
774,이비가짬봉
775,따신족발
776,맛있는곰탕이야기
777,오복미역울산일산점
778,한양횟집
779,원지원
780,동해농장식당
781,부자가
782,마굿간
783,대가야삼계탕
784,남해정통해물찜
785,명촌순두부보쌈
786,한옥마을
787,압구정한우국밥명촌점
788,대방낙지.불쭈꾸미
789,가고파
790,배내골참민물장어
791,번지농장
792,마늘보쌈
793,해초
794,동해반점
795,몽중해아구찜
796,오방촌
797,손영환비빔국수칼국수
798,코뚜레
799,도드람마을구이촌
800,중앙암소숯불식당
801,정원숯불구이
802,옹심이칼국수
803,고당운집
804,갈비구락부
805,언양암소불고기
806,조금마루
807,언양진미불고기
808,보라가든
809,청수골식당
810,다래정식
811,금장생복집
812,일출횟집
813,보광보리밥칼국수
814,공원불고기
815,언양기와집불고기
816,대운터
817,텃밭
818,발리동천
819,대대 찹쌀아구찜
820,원터가든
821,정수장추어탕
822,진부령황태
823,장성금생초국밥
824,돈가스클릭
825,왕창국밥
826,청해루
827,한국반점
828,장수국밥
829,시장중화요리
830,판문점
831,삼거리식당
832,헤어샵 지윤
833,모아모아빨래방
834,태극온천탕
835,백운사우나
836,멍게네
837,명궁
838,영진식당
839,금호음식점
840,조선옥숯불갈비
841,순한우촌
842,대호돼지국밥
843,미짱헤어
844,92(구이)
845,가위연가미용실
846,이기하이용원
848,까페345
849,통큰갈비 광양서천점
850,유성목욕탕
851,화둥숯불갈비
852,룡제원
853,백운마루
854,마린식당
855,남원골추어탕
856,자르지오
857,태경뷔페식당
858,복재식당
859,신)크린하우스
860,광양식탁
861,단비콩
862,비치모텔
863,엄지손 체형관리
864,붐비어
865,오늘김밥
866,우산이발소
872,김수사
874,만리장성
884,온누리
886,이감독참치
888,전복궁
896,개미집
897,광안리 부산횟집
898,광안밀면
899,까치횟집
900,남천삼계탕
901,뉴부산횟집
902,동화대반점
903,샤브향남천점
904,서울깍두기
905,서울부대찌게
906,수정궁
907,광안리 신라횟집
908,용궁반점
909,청송양곱창
910,포항물횟집
911,할매재첩국
912,갈매기회센타
913,갈비마트선산섬
914,금오산감나무백숙
915,감나무집
916,강산애
917,거제복집
918,고향가마솥추어탕
919,고향복어샤브샤브
920,구미옥계본가
921,구미할매국밥
922,굴마을낙지촌 시청점
923,권대감집헛제사밥
924,그린카파
925,금산할매집신평점
926,금오산고향촌식당
927,금오산성숯불갈비
928,금오산한우마을
929,금오산해물탕.찜
930,기와집
931,김태주선산곱창주식회사
932,꽃마름월남쌈샤브앤샐러드바옥계점
933,꽃피는산골
934,낙지마을
935,남다른감자탕도량점
936,놀부옛날통닭구미공단점
937,농원황토가든
938,다람골
939,다한
940,단지촌
941,닭갈비아저씨본점
943,대판초밥
944,도개다곡묵고을
945,돈뚜꺼비소원
946,동광알탕
947,동해해물탕 송정점
948,두껍삼본점
949,마음에
950,명장화로
951,무영쌈밥정식본점
952,박군자진주냉면
953,배우네생버섯
954,백우정
955,버드나무식당
956,별난버섯집
957,복되고
958,복터진집
959,본죽앤비빔밥카페 구미역점
960,봉곡보신가든
961,봉순이굴국밥 원호점
962,부산돼지국밥
963,불구이돈
964,사계식당
965,사랑한다면봉곡어탕칼국수
966,사오정숯불가든
967,산동장안식당
968,산수정
969,삼시세때상모점
970,생복집
971,샤브향 형곡점
972,선산고을식당
973,선산생곡묵집두부촌
974,선주고을
975,선주한정식
976,성원식육식당
977,소머리숯불갈비
978,소문난해물탕
979,송죽초밥
980,송화주식회사
981,수림매운탕
982,싱글벙글복어
983,싱글벙글복어옥계점
984,써니의착한식당상모본점
985,아스카
986,아웃백스테이크하우스코리아인동점
987,아지매맛집숯불갈비
988,양평칼국수봉곡점
989,어전식당
990,어촌마을1호점
991,연못식당
992,오대양복어
993,우미가
994,울산정자참가자미회타운
995,원조호남무침회식당
996,원할머니보쌈족발 박가부대찌개 구미형곡점
997,유진칡냉면
998,육림촌
999,윤쉐프의고기집
1000,이조곰탕
1001,장터목
1002,장황
1003,전원숯불사곡점
1004,전원일기
1005,조선옥
1006,주식회사460
1007,진선찜점문점
1008,이승우참치
1009,진참치
1010,채미옥
1011,천생골한우앤돼지마을
1012,천생산오리사냥
1014,청운복집
1015,충무찜
1016,큰나무집 궁중약백숙
1017,큰마당
1018,태평양참치옥계점
1019,터줏골송정점
1020,팔팔갈비탕
1021,팔팔순두부
1022,포항가자미회
1023,폴이네키친
1024,한양매운탕
1025,한우랑 숯불구이
1026,해수전복
1027,행복한갈비구미점
1028,황강장어
1029,153포인츠부대찌개예산점
1030,고덕갈비
1031,금강장어구이
1032,내가조선의한우다
1033,다루갈비
1034,대보건설(주)예산+(당진방향)휴게소(한식)
1035,두멍
1036,뜨끈이식당
1037,맛나감자탕
1038,매일한우타운식당
1039,명가네
1040,민물나라
1041,버섯마당집
1042,사계절복코다리
1043,산채명가
1044,삼우갈비
1045,삽다리칼국수
1046,성일산채
1047,소복식당
1048,수덕고개식당
1049,수목가든
1050,신분준할머니+기러기칼국수
1051,양어장가든
1052,역탑리어죽
1053,예산(대전방향)휴게소
1054,예산냉면갈비
1055,원조설악추어탕
1056,임진강장어
1057,자연식당
1058,지돈가(지명영농조합법인)
1059,청암회관
1060,킹콩부대찌개(내포신도시점)
1061,태백산가든
1062,이학갈비
1063,태화원
1064,등나무 가든
1066,장미횟집
1067,부일식당
1068,삼강옥
1069,도도해
1070,서울돼지1986
1071,선어
1072,오리한마리
1073,하늘가든
1074,송도골
1075,용마루집
1076,월미도회집
1077,풍미
1078,성진물텀벙
1079,빕스 프리미어
1080,단해
1081,청관
1082,조마루감자탕
1083,명태덕장
1084,하늘채
1085,해안도시
1086,동원물텀벙
1087,신선설농탕
1088,금산식당
1089,아웃백스테이크하우스
1090,부영선지국
1091,장어마을
1092,신촌설렁탕연
1093,성원바지락손칼국수
1094,독도참치
1095,청해횟집
1096,해촌
1097,한우평
1098,장군족발보쌈
1099,바베큐광장
1100,서가앤쿡
1101,원숯불한우촌
1102,조가네소한마리
1103,경복궁
1104,삿뽀로
1105,백령옥
1107,강릉회산막국수
1108,하여울
1109,박진형순대국
1110,은수저
1111,해바라기 정육식당
1112,청해물텀벙
1113,계양명가부대찌개
1114,착한낙지
1115,북창동순두부
1116,황가복
1117,해랑
1118,드마리스
1119,문차이나
1120,네스트호텔 플라츠
1121,하림
1122,힘센풍천장어
1123,샹차이
1124,아트랑 샤브&구이월남쌈
1125,종가집
1126,그램그램
1127,숙성명작
1128,화로구이
1129,북한강쭈꾸미
1130,한라담
1131,일월아구쭈꾸미
1132,교동찹쌀순대
1133,메주꽃이랑
1135,부뚜막애순두부
1136,고메돈까스
1137,찬우정
1138,온세미
1140,본래순대
1141,스쿨푸드
1142,종로순대
1143,만리성
1144,거궁
1145,돌판구이촌
1146,명태어장
1147,메이스테이크
1148,후원
1149,경복궁삼계탕전문점
1150,서서카페
1151,충무칼국수보쌈
1152,옛골남원추어탕
1153,옛날그집
1154,석남동 함흥냉면
1155,신포화로구이
1156,5.5닭갈비전문점
1157,원조먹거리식당
1158,아우라지
1159,미가원
1160,우리네코다리
1161,굴이랑매생이랑
1162,조선화로집
1163,서울감자탕
1164,맛깔참죽
1165,전골잘하는곰집
1166,명가원설농탕
1168,명동보리밥
1169,금문도
1170,구봉산
1171,송도갈매기
1172,청주보쌈
1173,까사올리브
1175,보릿골 정찬
1176,레인보우차이홍
1177,신관교민물매운탕
1178,칭칭차이나
1179,명품삼계탕
1180,우판등심
1181,갯마을
1182,삼능참숯한우
1183,원조대추나무영양탕
1184,송쭈집
1185,열두바구니
1186,마쯔
1187,중화원
1188,강화섬보리밥
1189,스토리
1190,전복촌
1191,우리해물탕
1192,박물관산채마을
1193,아바이왕순대
1195,서문통닭삼계탕
1196,만미가셀프장어구이
1197,마니산산채
1198,신한우왕국정육식당
1200,구수옥
1201,군봉묵은지김치찜
1202,강선생의냉면막국수
1203,동촌집
1204,미소로
1206,수인복집
1207,구락다복
1208,함흥관
1209,최서방네우렁쌈밥대패정식
1210,더소야소
1211,속초코다리냉면
1212,계산동생생동태탕해물집
1213,뜰안에정원
1214,대박집
1215,안다미로한정식
1216,황성얼큰오징어찌개
1217,마포소금구이
1218,송도국제경양식
1219,명가한방삼계탕
1220,동해참치
1221,만송골 갈비탕
1222,쭈돈나라
1223,두루치기&숯불장어
1225,한우마을
1226,방일해장국
1227,도쿄하나
1229,논현코다리냉면
1230,백제원
1231,오아라쭈꾸미
1232,무한버섯나라
1233,석정
1234,원플레이트
1235,곤드레愛찬
1236,나삼보해물가
1237,묵은지삼겹살 매운갈비찜
1238,조은삼계탕
1239,모심갈비
1240,안동찜닭
1241,산곡축산이야기
1242,향이랑
1243,본화로왕소금구이
1244,아우라지 메기 매운탕
1245,조박사 갈비명가
1247,육봉달
1248,유진초밥
